,Country,2015Happiness Rank,2015Happiness Score,2016Happiness Rank,2016Happiness Score,2017Happiness Rank,2017Happiness Score,2018Happiness Rank,2018Happiness Score,2019Happiness Rank,2019Happiness Score,2015LE,2016LE,2017LE,2018LE,2019LE,2015GDP,2016GDP,2017GDP,2018GDP,2019GDP,2015HF,2016HF,2017HF,2018HF,2019HF,2015LS,2016LS,2017LS,2018LS,2019LS
71,Kyrgyzstan,77.0,5.2860000000000005,102.0,4.876,54.0,5.849999905,110.0,4.623,86.0,5.261,70.65121951,70.95121951,71.2,71.4,0,3603.025501,3780.003689,4045.614209,4419.914327,4417.50994,0,0.0,0.0,0,0,0,4.856534003999999,5.629536629,5.297383308,0
72,Laos,99.0,4.876,68.0,5.56,88.0,5.224999905,53.0,5.933,105.0,4.796,66.546,66.92399999999999,67.277,67.61,0,29869.52939,27653.06677,29759.43649,33994.38192,32031.9801,6.24,6.22,6.2,0,0,0,0.0,4.623140812,4.85940218,0
73,Latvia,89.0,5.098,93.0,5.129,139.0,3.808000088,80.0,5.358,53.0,5.94,74.4804878,74.5804878,74.62926829,74.78292683,0,13698.93795,14153.41492,15586.58189,17805.28031,17836.36489,8.33,8.3,8.29,0,0,0,5.940446377000001,5.977817535,5.901154041,0
74,Lebanon,103.0,4.839,150.0,3.622,148.0,3.532999992,141.0,3.808,91.0,5.197,78.768,78.8,78.833,78.875,0,7644.5486569999985,7629.891117,7801.178658,8024.803271,7784.316856999999,6.54,6.78,6.74,0,0,0,5.27072382,5.153989792,5.167186737,0
75,Lesotho,97.0,4.898,67.0,5.615,68.0,5.525000095,149.0,3.495,144.0,3.802,51.038,52.059,52.947,53.705,0,1152.139827,1043.569792,1150.079173,1221.883763,1157.535164,6.65,6.58,6.54,0,0,0,3.808204889,3.795300722,0.0,0
76,Liberia,116.0,4.5710000000000015,60.0,5.813,52.0,5.90199995,70.0,5.566,141.0,3.975,62.269,62.802,63.295,63.73,0,710.3838577,714.6233922,698.7017643999999,677.3221785000002,621.8929536,6.48,6.36,6.35,0,0,0,3.354676008,4.424490929,4.134852886,0
77,Libya,63.0,5.754,20.0,6.871,18.0,6.8629999160000015,50.0,5.952000000000001,72.0,5.525,72.12100000000002,72.311,72.52,72.72399999999998,0,4337.919139,4035.194316,5756.69845,7877.122251000002,7683.750611,4.48,4.48,4.64,0,0,0,5.43358326,5.646852493,5.493977547,0
78,Lithuania,56.0,5.832999999999998,95.0,5.121,92.0,5.1750001910000005,17.0,6.91,42.0,6.149,74.32195122,74.67073171,75.4804878,75.68048780000002,0,14249.11497,14999.47964,16882.63947,19080.61737,19455.45413,8.38,8.35,8.32,0,0,0,5.865552425,6.272940636,6.308878899,0
79,Luxembourg,17.0,6.9460000000000015,148.0,3.695,144.0,3.644000053,89.0,5.185,14.0,7.09,82.29268293,82.68536585,82.09512195,82.29512195,0,101376.4966,104278.391,107627.151,116654.2611,114704.5942,8.56,8.52,8.56,0,0,0,6.967340946,7.061380862999999,7.242630958999999,0
80,Madagascar,147.0,3.681,47.0,6.005,42.0,6.084000111,147.0,3.587,143.0,3.933,65.539,65.931,66.311,66.681,0,467.2353994,475.9554172,515.2927248999998,527.5013261,522.2198092,6.59,6.51,6.32,0,0,0,3.663085938,4.0786204339999985,4.070586681,0
81,Malawi,131.0,4.292,135.0,4.073,127.0,4.190000057,35.0,6.322,150.0,3.41,61.953,62.681,63.279,63.798,0,380.5970331,315.7773264,356.7175732,381.2589876,411.5523404,6.58,6.65,6.6,0,0,0,3.4764926430000003,3.416862965,3.334633589,0
82,Malaysia,61.0,5.77,30.0,6.488,27.0,6.52699995,118.0,4.447,80.0,5.339,75.461,75.649,75.828,75.997,0,9955.242127,9817.740861,10254.23402,11373.233,11414.83766,6.67,6.52,6.52,0,0,0,0.0,0.0,5.338817596,0
83,Mali,138.0,3.995,130.0,4.2010000000000005,123.0,4.291999817,22.0,6.627000000000002,128.0,4.39,57.50899999999999,57.987,58.452,58.893,0,751.4786686000001,780.38787,830.5574088,900.1101645,890.7372855000001,5.93,5.98,6.03,0,0,0,4.016027927,4.741850376,4.415729523,0
84,Malta,37.0,6.3020000000000005,66.0,5.648,64.0,5.629000187000001,126.0,4.356,22.0,6.726,81.89756098,82.45365854,82.34634146,82.44878049,0,24002.52329,25133.04565,27239.0701,30133.46617,29416.23061,8.48,8.45,8.37,0,0,0,6.590842247,6.675665855,6.909710884,0
85,Mauritania,124.0,4.436,21.0,6.778,25.0,6.578000069,55.0,5.891,122.0,4.49,63.93600000000001,64.208,64.464,64.704,0,1524.072883,1536.85415,1578.114174,1600.876469,1677.919253,5.34,5.36,5.47,0,0,0,4.472149372,4.678159714,4.313615322,0
86,Mauritius,71.0,5.477,55.0,5.897,56.0,5.837999821,24.0,6.488,57.0,5.888,74.35317073,74.39487805,74.51463415,74.41634146,0,9260.447303,9681.618567,10484.90836,11208.22737,11203.54058,7.82,7.75,7.52,0,0,0,5.6100034710000015,6.174117565,5.88174057,0
87,Mexico,14.0,7.187,101.0,4.907,100.0,4.954999924,67.0,5.64,23.0,6.595,74.904,74.917,74.947,74.992,0,9605.952351,8739.756043000001,9278.418168,9673.443674,9863.072699,6.88,6.78,6.65,0,0,0,6.824172974,6.410299301,6.5495786670000005,0
88,Moldova,52.0,5.8889999999999985,88.0,5.1610000000000005,83.0,5.236999989,94.0,5.125,71.0,5.529,71.47800000000002,71.617,71.717,71.808,0,2732.457113,2880.439281,3509.69345,4233.999556000002,4498.52085,6.78,6.88,6.93,0,0,0,5.577784061,5.325530529,5.682277203,0
89,Mongolia,100.0,4.874,90.0,5.151,84.0,5.235000134,81.0,5.347,83.0,5.285,69.111,69.321,69.509,69.689,0,3918.579174,3660.150746,3669.41754,4134.987198,4295.235025,7.67,7.7,7.61,0,0,0,5.056999683,5.333850384,5.464622974,0
